quiestionId,question,answer,timestamp,credits
qid1,Fill in the missing word: The SUM of 7 and 24 = thirty ***,one,1446158484891,www.cleancaptcha.com
qid2,Fill in the missing word: The DIFFERENCE of 21 and 8 = ********,thirteen,1446158484891,www.cleancaptcha.com
qid3,Fill in the missing word: The SUM of 20 and 77 = ****** seven,ninety,1446158484891,www.cleancaptcha.com
qid4,Fill in the missing word: The DIFFERENCE of 97 and 85 = ******,twelve,1446158484891,www.cleancaptcha.com
qid5,Fill in the missing word: The SUM of 31 and 95 = one hundred and ****** six,twenty,1446158484891,www.cleancaptcha.com
qid6,Fill in the missing word: The DIFFERENCE of 43 and 24 = ********,nineteen,1446158484891,www.cleancaptcha.com
qid7,Fill in the missing word: The SUM of 8 and 73 = eighty ***,one,1446158484891,www.cleancaptcha.com
qid8,Fill in the missing word: The DIFFERENCE of 20 and 12 = *****,eight,1446158484891,www.cleancaptcha.com
qid9,Fill in the missing word: The SUM of 86 and 72 = one hundred and fifty *****,eight,1446158484891,www.cleancaptcha.com
qid10,Fill in the missing word: The DIFFERENCE of 94 and 21 = seventy *****,three,1446158484891,www.cleancaptcha.com
qid11,Fill in the missing word: The SUM of 40 and 21 = ***** one,sixty,1446158484891,www.cleancaptcha.com
qid12,Fill in the missing word: The DIFFERENCE of 29 and 17 = ******,twelve,1446158484891,www.cleancaptcha.com
qid13,Fill in the missing word: The SUM of 50 and 88 = one hundred and ****** eight,thirty,1446158484891,www.cleancaptcha.com
qid14,Fill in the missing word: The DIFFERENCE of 50 and 17 = ****** three,thirty,1446158484891,www.cleancaptcha.com
qid15,Fill in the missing word: The SUM of 59 and 43 = one ******* and two,hundred,1446158484891,www.cleancaptcha.com
qid16,Fill in the missing word: The DIFFERENCE of 12 and 3 = ****,nine,1446158484891,www.cleancaptcha.com
qid17,Fill in the missing word: The SUM of 20 and 76 = ****** six,ninety,1446158484891,www.cleancaptcha.com
qid18,Fill in the missing word: The DIFFERENCE of 73 and 66 = *****,seven,1446158484891,www.cleancaptcha.com
qid19,Fill in the missing word: The SUM of 76 and 72 = one ******* and forty eight,hundred,1446158484891,www.cleancaptcha.com
qid20,Fill in the missing word: The DIFFERENCE of 54 and 3 = ***** one,fifty,1446158484891,www.cleancaptcha.com
qid21,Fill in the missing word: The SUM of 14 and 9 = twenty *****,three,1446158484891,www.cleancaptcha.com
qid22,Fill in the missing word: The DIFFERENCE of 49 and 22 = ****** seven,twenty,1446158484891,www.cleancaptcha.com
qid23,Fill in the missing word: The SUM of 88 and 60 = *** hundred and forty eight,one,1446158484891,www.cleancaptcha.com
qid24,Fill in the missing word: The DIFFERENCE of 42 and 7 = ****** five,thirty,1446158484891,www.cleancaptcha.com
qid25,Fill in the missing word: The SUM of 59 and 52 = one ******* and eleven,hundred,1446158484891,www.cleancaptcha.com
qid26,Fill in the missing word: The DIFFERENCE of 94 and 6 = ****** eight,eighty,1446158484891,www.cleancaptcha.com
qid27,Fill in the missing word: The SUM of 86 and 71 = *** hundred and fifty seven,one,1446158484891,www.cleancaptcha.com
qid28,Fill in the missing word: The DIFFERENCE of 14 and 3 = ******,eleven,1446158484891,www.cleancaptcha.com
qid29,Fill in the missing word: The SUM of 23 and 21 = ***** four,forty,1446158484891,www.cleancaptcha.com
qid30,Fill in the missing word: The DIFFERENCE of 82 and 35 = ***** seven,forty,1446158484891,www.cleancaptcha.com
qid31,Fill in the missing word: The DIFFERENCE of 12 and 1 = ******,eleven,1446158484891,www.cleancaptcha.com
qid32,Fill in the missing word: The SUM of 83 and 59 = one hundred and forty ***,two,1446158484891,www.cleancaptcha.com
qid33,Fill in the missing word: The DIFFERENCE of 39 and 8 = ****** one,thirty,1446158484891,www.cleancaptcha.com
qid34,Fill in the missing word: The SUM of 53 and 1 = ***** four,fifty,1446158484891,www.cleancaptcha.com
qid35,Fill in the missing word: The DIFFERENCE of 96 and 17 = ******* nine,seventy,1446158484891,www.cleancaptcha.com
qid36,Fill in the missing word: The SUM of 86 and 84 = one hundred and *******,seventy,1446158484891,www.cleancaptcha.com
qid37,Fill in the missing word: The DIFFERENCE of 80 and 76 = ****,four,1446158484891,www.cleancaptcha.com
qid38,Fill in the missing word: The SUM of 75 and 20 = ninety ****,five,1446158484891,www.cleancaptcha.com
qid39,Fill in the missing word: The DIFFERENCE of 65 and 63 = ***,two,1446158484891,www.cleancaptcha.com
qid40,Fill in the missing word: The SUM of 31 and 73 = one hundred and ****,four,1446158484891,www.cleancaptcha.com
qid41,Fill in the missing word: The DIFFERENCE of 59 and 51 = *****,eight,1446158484891,www.cleancaptcha.com
qid42,Fill in the missing word: The SUM of 80 and 34 = one hundred and ********,fourteen,1446158484891,www.cleancaptcha.com
qid43,Fill in the missing word: The DIFFERENCE of 64 and 34 = ******,thirty,1446158484891,www.cleancaptcha.com
qid44,Fill in the missing word: The SUM of 5 and 52 = fifty *****,seven,1446158484891,www.cleancaptcha.com
qid45,Fill in the missing word: The DIFFERENCE of 16 and 9 = *****,seven,1446158484891,www.cleancaptcha.com
qid46,Fill in the missing word: The DIFFERENCE of 63 and 52 = ******,eleven,1446158484891,www.cleancaptcha.com
qid47,Fill in the missing word: The SUM of 90 and 10 = one *******,hundred,1446158484891,www.cleancaptcha.com
qid48,Fill in the missing word: The DIFFERENCE of 7 and 4 = *****,three,1446158484891,www.cleancaptcha.com
qid49,Fill in the missing word: The SUM of 53 and 42 = ****** five,ninety,1446158484891,www.cleancaptcha.com
